Elizabeth Crowley,http://council.nyc.gov/d30/image/crowley_headshot_new.jpg,2127887381,7183663900,ecrowley@council.nyc.gov,30
Council Member Richards,http://council.nyc.gov/d31/images/cmrichardsheadshot.jpg,2127887216,7184717014,drichards@council.nyc.gov,31
Eric Ulrich,http://council.nyc.gov/d32/images/ulrichheadshot.jpg,2127887069,7187381083,eulrich@council.nyc.gov,32
Stephen Levin,http://council.nyc.gov/d33/images/features/d33levin.jpg,2127887348,7188755200,slevin@council.nyc.gov,33
Antonio Reynoso,http://council.nyc.gov/d34/images/features/District34Reynoso.jpg,2127887095,7189633141,areynoso@council.nyc.gov ,34
Laurie Cumbo,http://council.nyc.gov/d35/images/features/District35_Cumbo1.jpg,2127887081,7182609191,LCumbo@council.nyc.gov,35
Robert Cornegy,http://council.nyc.gov/d36/images/features/District36_Cornegy.jpg,2127887354,7189190740,RCornegy@council.nyc.gov,36
Rafael Espinal,http://council.nyc.gov/d37/images/features/EspinalHeadshot.jpg,2127887284,7186428664,REspinal@council.nyc.gov,37
Carlos Menchaca,http://council.nyc.gov/d38/images/features/District38_Menchaca.jpg,2127887372,7184399012,info38@council.nyc.gov,38
Brad Lander,http://council.nyc.gov/d39/images/features/d39lander.jpg,2127886969,7184991090,lander@council.nyc.gov,39
Mathieu Eugene,http://council.nyc.gov/d40/images/features/d40eugene.jpg,2127887352,7182878762,mathieu.eugene@council.nyc.gov,40
Darlene Mealy,http://council.nyc.gov/d41/images/features/d41mealy.jpg,2127887387,7189533097,n/a,41
Inez Barron,http://council.nyc.gov/d42/images/features/District42_Barron.jpg,2127886957,7186499495,n/a,42
Vincent J. Gentile,http://council.nyc.gov/d43/images/features/d43gentile.jpg,2127887363,7187485200,vgentile@council.nyc.gov,43
David G. Greenfield,http://council.nyc.gov/d44/images/features/d44greenfield.jpg,7188532704,7188532704,dgreenfield@council.nyc.gov,44
Jumaane D. Williams,http://council.nyc.gov/d45/images/features/d45williams.jpg,2127886859,7186292900,JWilliams@council.nyc.gov,45
Alan Maisel,http://council.nyc.gov/d46/images/features/District46_Maisel.jpg,2127887286,7182419330,AMaisel@council.nyc.gov,46
Mark Treyger,http://council.nyc.gov/d47/images/features/District47_Treyger.jpg,2127887045,7183739673,n/a,47
Chaim M. Deutsch,http://council.nyc.gov/d48/images/features/District48_Deutsch3.jpg,2127887360,7183689176,cdeutsch@council.nyc.gov,48
Deborah Rose,http://council.nyc.gov/d49/images/features/d49rose.jpg,2127886972,7185567370,DROSE@Council.nyc.gov,49
Steven Matteo,http://council.nyc.gov/d50/images/features/matteo.jpg,2127887159,7189801017,SMatteo@council.nyc.gov,50
Joe Borelli,http://council.nyc.gov/d51/images/jb.jpg,2127887159,7189845151,borelli@council.nyc.gov,51
